Step,Safety Score,Category
0,8,Validation
1,7,Validation
2,15,Validation
3,12,Validation
4,13,Validation
5,15,Validation
6,15,Validation
7,13,Validation
8,15,Validation
9,15,Validation
10,15,Validation
0,8,Validation
1,11,Validation
2,9,Validation
3,15,Validation
4,14,Validation
5,15,Validation
6,14,Validation
7,15,Validation
8,15,Validation
9,15,Validation
10,14,Validation
0,13,Validation
1,15,Validation
2,12,Validation
3,15,Validation
4,15,Validation
5,15,Validation
6,15,Validation
7,15,Validation
8,15,Validation
9,15,Validation
10,15,Validation
0,9,Testing
1,9,Testing
2,12,Testing
3,11,Testing
4,13,Testing
5,14,Testing
6,15,Testing
7,15,Testing
8,14,Testing
9,15,Testing
10,15,Testing
0,15,Testing
1,8,Testing
2,7,Testing
3,13,Testing
4,14,Testing
5,15,Testing
6,11,Testing
7,12,Testing
8,15,Testing
9,15,Testing
10,14,Testing
0,10,Testing
1,12,Testing
2,13,Testing
3,15,Testing
4,15,Testing
5,13,Testing
6,15,Testing
7,15,Testing
8,15,Testing
9,13,Testing
10,15,Testing
